ID,pregunta,respuesta,intencion,entidades,referencias
108,Qué es la electrocauterización,"La electrocauterización es un tratamiento para el que se usa una sonda o una aguja que se calienta con una corriente eléctrica para destruir el tejido anormal. Cuando los tumores están en las vías respiratorias, la electrocauterización se hace con un endoscopio.",tratamiento del cáncer de pulmón,electrocauterizacion,https://doi.org/10.1183/09031936.06.00013906
109,Existen nuevos tratamientos para el cáncer de pulmón no microcítico," Hay diferentes tipos de ensayos clínicos para personas con cáncer. Por ejemplo, en un ensayo de tratamiento se prueban opciones terapéuticas nuevas o formas novedosas de usar las terapias actuales. En los ensayos de cuidados médicos de apoyo y cuidados paliativos se analiza la manera de mejorar la calidad de vida, en especial de quienes presentan efectos secundarios del cáncer y su tratamiento. Un metodo que se le esta prestando mucha atencion ultimamente son los radiosensibilizadores",tratamiento del cáncer de pulmón,nuevos|tratamientos,https://doi.org/10.1056/NEJMra1715714|https://www.cancer.gov/research/participate/clinical-trials/disease/non-small-cell-lung?pn=1
110,Qué son los radiosensibilizadores,Los radiosensibilizadores son sustancias que hacen que sea más fácil destruir las células tumorales durante la radioterapia. La combinación de quimioterapia y radioterapia administradas con un radiosensibilizador está en estudio para el tratamiento del cáncer de pulmón de células no pequeñas.,tratamiento del cáncer de pulmón,radiosensibilizadores,https://doi.org/10.1200/JCO.2003.07.178|https://doi.org/10.1038/nrc3007
111,Qué efectos secundarios puede tener los tratamientos para el cáncer de pulomon no microcítico,Los tratamientos del cáncer y el cáncer pueden causar efectos secundarios. Los efectos secundarios son problemas que ocurren cuando el tratamiento afecta tejidos u órganos sanos. Reporte a su equipo de atención de salud los efectos secundarios que tenga y los cambios que note para recibir los cuidados y el tratamiento que necesita para controlarlos.,tratamiento del cáncer de pulmón,secundarios,https://www.cancer.gov/about-cancer/treatment/side-effects|https://www.cancer.org/cancer/managing-cancer/side-effects
112,Como es el tratamiento en estadio 0 en el cáncer de pulmón no microcítico,"El tratamiento para el cancer de pulmón no microcítico consta de: Cirugía (resección en cuña o resección segmentaria).Terapia fotodinámica, electrocauterización, criocirugía o cirugía láser para los tumores ubicados en un bronquio o cerca de este.",tratamiento del cáncer de pulmón,tratamiento|estadio|0, https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html
113,Como es el tratamiento en estadio 1 en el cáncer de pulmón no microcítico,"El tratamiento del cáncer de pulmón no microcítico en estadio 1 incluye: Cirugía (resección en cuña, resección segmentaria, resección en manguito o lobectomía). Cirugía seguida de terapia dirigida, como el osimertinib. Cirugía seguida de quimioterapia e inmunoterapia, como el pembrolizumab. Radioterapia externa, incluso la radioterapia corporal estereotáctica para personas que no pueden someterse a cirugía o que deciden evitarla.",tratamiento del cáncer de pulmón,tratamiento|estadio|1,https://doi.org/10.6004/jnccn.2022.0025|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html
114,Como es el tratamiento en estadio 2 en el cáncer de pulmón no microcítico,"El tratamiento del cáncer de pulmón no microcítico en estadio 2 incluye: Cirugía (resección en cuña, resección segmentaria, resección en manguito, lobectomía o neumonectomía). Cirugía seguida de quimioterapia. Cirugía seguida de terapia dirigida, como el osimertinib. Cirugía seguida de quimioterapia e inmunoterapia, como el pembrolizumab Cirugía seguida de inmunoterapia, como el atezolizumab. Cirugía seguida de radioterapia. Quimioterapia seguida de cirugía. Inmunoterapia, como nivolumab y quimioterapia, seguida de cirugía. Inmunoterapia, como pembrolizumab, durvalumab, nivolumab o toripalimab, y quimioterapia, seguida de cirugía y más inmunoterapia. Radioterapia externa para las personas que no se pueden someter a cirugía.",tratamiento del cáncer de pulmón,tratamiento|estadio|2,https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq|https://doi.org/10.6004/jnccn.2022.0025
115,Como es el tratamiento en estadio 3A en el cáncer de pulmón no microcítico,"Si el tumor del cáncer de pulmón no microcítico en estadio 3A es extirpable se tiene los siguientes tratamientos: Quimioterapia seguida de cirugía. Quimioterapia y radioterapia seguidas de cirugía. Inmunoterapia, como el nivolumab, y quimioterapia seguida de cirugía. Inmunoterapia, como pembrolizumab, durvalumab, nivolumab o toripalimab, y quimioterapia seguida de cirugía y más inmunoterapia. Cirugía seguida de quimioterapia. Cirugía seguida de terapia dirigida, como el osimertinib. Cirugía seguida de quimioterapia e inmunoterapia, como el pembrolizumab o el atezolizumab. Cirugía seguida de inmunoterapia, como el atezolizumab. Cirugía seguida de quimioterapia combinada con radioterapia. Cirugía seguida de radioterapia.",tratamiento del cáncer de pulmón,tratamiento|3A,https://doi.org/10.1016/j.annonc.2022.07.003|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html
116,Como es el tratamiento en estadio 3A en el cáncer de pulmón no microcítico,Si el tumor no es extraible los posibles tratamientos son:Quimioterapia y radioterapia. Quimioterapia y radioterapia seguida de inmunoterapia como el durvalumab. Radioterapia externa sola. Radioterapia interna o cirugía láser como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida.,tratamiento del cáncer de pulmón,no|extraible,https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq |https://doi.org/10.1016/j.annonc.2022.07.003
117,Como es el tratamiento en estadio 3B en el cáncer de pulmón no microcítico,"El tratamiento del cáncer de pulmón no microcítico en estadio 3c incluye la quimioterapia seguida de radioterapia externa, quimioterapia con radioterapia, inmunoterapia, como durvalumab, antes o después de la quimioterapia y la radioterapia, terapia dirigida, como osimertinib antes o después de la quimioterapia y la radioterapia, radioterapia externa para las personas que no se pueden tratar con quimioterapia. la radioterapia externa se usa como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida, terapia láser y radioterapia interna para aliviar los síntomas y mejorar la calidad de vida.",tratamiento del cáncer de pulmón,tratamineto|3B,"https://doi.org/10.6004/jnccn.2022.0025|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html
"
118,Como es el tratamiento en estadio 3C en el cáncer de pulmón no microcítico,"El tratamiento del cáncer de pulmón no microcítico en estadio 3c incluye la quimioterapia seguida de radioterapia externa, quimioterapia con radioterapia, inmunoterapia, como durvalumab, antes o después de la quimioterapia y la radioterapia, terapia dirigida, como osimertinib antes o después de la quimioterapia y la radioterapia, radioterapia externa para las personas que no se pueden tratar con quimioterapia. la radioterapia externa se usa como terapia paliativa para aliviar los síntomas y mejorar la calidad de vida, terapia láser y radioterapia interna para aliviar los síntomas y mejorar la calidad de vida.",tratamiento del cáncer de pulmón,tratamineto|3C,https://doi.org/10.1016/j.annonc.2022.07.003|https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq
119,Como es el tratamiento en estadio 4 recien diagnosticado en el cáncer de pulmón no microcítico,"Es posible que el tratamiento del cáncer de pulmón de células no pequeñas en estadio IV de diagnóstico reciente, en recaída y recidivante incluya las siguientes opciones: Uno o más medicamentos de quimioterapia con terapia dirigida o sin esta. Quimioterapia de combinación seguida de más quimioterapia como terapia de mantenimiento para evitar la progresión del cáncer. Terapia dirigida. Uno o más medicamentos de inmunoterapia.",tratamiento del cáncer de pulmón,tratamineto|4|recien|diagnosticado,https://doi.org/10.1093/annonc/mdy275|https://www.cancer.org/cancer/types/lung-cancer/treating-non-small-cell/by-stage.html
120,Como es el tratamiento en estadio 4 progresivo en el cáncer de pulmón no microcítico,Para este caso los tratamientos son Quimioterapia. Terapia dirigida con quimioterapia o sin esta. Inmunoterapia.,tratamiento del cáncer de pulmón,tratamineto|4|progresivo,https://doi.org/10.6004/jnccn.2022.0025|https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq
121,Es recomendable buscar una segunda oponión medica,Si es recomendable buscar una segunda opinion ya sea por la posibilidad de un falso positivo o negativo o por considerar mas opciones de tratamiento,tratamiento del cáncer de pulmón,segunda|opinion,https://www.cancer.org/cancer/coping/second-opinions.html
122,Qué es el carboplatino,"Medicamento que se usa para el tratamiento del cáncer de ovario en estadio avanzado que no se ha tratado o que volvió después del tratamiento con otros medicamentos contra el cáncer. También está en estudio para el tratamiento de otros tipos de cáncer. El carboplatino actúa de manera parecida al medicamento contra el cáncer cisplatino, y causa menos efectos secundarios. Este medicamento daña el ADN de las células y es posible que destruya células cancerosas. El carboplatino es un tipo de compuesto de platino.",tratamiento del cáncer de pulmón,carboplatino,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/carboplatin|https://www.cancer.net/carboplatin
123,Qué es el cisplatino,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer de vejiga, cáncer de ovario y cáncer de testículo. También está en estudio para el tratamiento de otros tipos de cáncer. El cisplatino daña el ADN de las células y es posible que destruya células cancerosas. Es un tipo de compuesto de platino. La marca comercial Platinol se retiró del mercado y ya no se consigue.",tratamiento del cáncer de pulmón,cisplatino,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/cisplatin
124,Qué es el docetaxel,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer de mama, cáncer de estómago, cáncer de unión gastroesofágica, cáncer de pulmón células no pequeñas, cáncer de próstata y carcinoma de células escamosas de cabeza y cuello. También está en estudio para el tratamiento de otros tipos de cáncer. El docetaxel detiene el crecimiento y la multiplicación de células cancerosas y es posible que las destruya. Es un tipo de taxano. También se llama Taxotere.",tratamiento del cáncer de pulmón,docetaxel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/docetaxel|https://medlineplus.gov/druginfo/meds/a696031.html
125,Qué es la doxuorrubicina,"Medicamento que se obtiene de la bacteria Streptomyces peucetius y se usa solo o con otros medicamentos para el tratamiento de muchos tipos de cáncer, como la leucemia, el linfoma, el neuroblastoma, el sarcoma, el tumor de Wilms y ciertos tipos de cáncer de pulmón, mama, estómago, ovario, tiroides y vejiga. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de doxorrubicina daña el ADN de la célula y es posible que destruya células cancerosas. Además, bloquea cierta enzima necesaria para la multiplicación celular y la reparación del ADN. El clorhidrato de doxorrubicina es un antibiótico de tipo antraciclina y es un tipo de inhibidor de la topoisomerasa. La doxorrubicina es el principio activo del clorhidrato de doxorrubicina. También se llama Adriamycin, hidrocloruro de doxorrubicina e hidroxidaunorrubicina.",tratamiento del cáncer de pulmón,doxuorrubicina,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/doxorubicin-hydrochloride|https://medlineplus.gov/druginfo/meds/a682221.html
126,Qué es el etoposido,"Principio activo de un medicamento que se usa con otros medicamentos para el tratamiento del cáncer de pulmón de células pequeñas y ciertos tipos de cáncer de testículo. También está en estudio para el tratamiento de otros tipos de cáncer. El etopósido bloquea una enzima necesaria para la multiplicación celular y la reparación del ADN, y es posible que destruya células cancerosas. Es un derivado de la podofilotoxina y un tipo de inhibidor de la topoisomerasa. También se llama VP-16.",tratamiento del cáncer de pulmón,etoposido,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/etoposide|https://medlineplus.gov/druginfo/meds/a682355.html
127,Qué es la gemcitabina,"Medicamento que se usa solo o con otros medicamentos para tratar ciertos tipos de cánceres de mama, de pulmón de células no pequeñas, de ovario y de páncreas que están en estadio avanzado o que se diseminaron a otras partes del cuerpo. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de gemcitabina impide que las células elaboren ADN y es posible que destruya células cancerosas. Es un tipo de antimetabolito. La gemcitabina es el ingrediente activo del clorhidrato de gemcitabina. También se llama Gemzar e Infugem.",tratamiento del cáncer de pulmón,gemcitabina,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/gemcitabine-hydrochloride|https://medlineplus.gov/druginfo/meds/a696012.html
128,Qué es el paclitaxel,"Medicamento que se usa solo o con otros medicamentos para el tratamiento del sarcoma de Kaposi relacionado con el SIDA, el cáncer de ovario en estadio avanzado, además de ciertos tipos de cáncer de mama y cáncer de pulmón de células no pequeñas. También está en estudio para el tratamiento de otros tipos de cáncer. Paclitaxel detiene el crecimiento y la multiplicación de células cancerosas y es posible que las destruya. Es un tipo de taxano.",tratamiento del cáncer de pulmón,paclitaxel,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/paclitaxel|https://medlineplus.gov/druginfo/meds/a607070.html
129,Qué es el pemetrexed,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer de pulmón de células no pequeñas y mesotelioma pleural maligno. También está en estudio para el tratamiento de otros tipos de cáncer. El pemetrexed disódico impide que las células usen ácido fólico para elaborar ADN y es posible que destruya células cancerosas. Es un tipo de antimetabolito y de antifolato. También se llama Alimta, LY231514 y Pemfexy.",tratamiento del cáncer de pulmón,pemetrexed,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/pemetrexed-disodium|https://medlineplus.gov/druginfo/meds/a605018.html
130,Qué es la vinorelbina,"Medicamento que se usa solo o con cisplatino para el tratamiento del cáncer de pulmón de células no pequeñas en estadio localmente avanzado, o que se diseminó a otras partes del cuerpo. También está en estudio para el tratamiento de otros tipos de cáncer. El tartrato de vinorelbina detiene el crecimiento y la multiplicación de las células cancerosas y es posible que las destruya. Es un tipo de alcaloide de vinca.",tratamiento del cáncer de pulmón,vinorelbina,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/vinorelbine-tartrate|https://medlineplus.gov/druginfo/meds/a606004.html
131,Qué es el adagrasib,"Medicamento que se usa, solo o con cetuximab, para el tratamiento de adultos con cáncer colorrectal o cáncer de pulmón de células no pequeñas que se diseminó y presenta ciertas mutaciones (cambios) en el gen KRAS. Se utiliza en pacientes cuyo cáncer se trató con otra terapia sistémica. También está en estudio para el tratamiento de otros tipos de cáncer. El adagrasib bloquea una proteína (KRAS G12C) que se origina a partir del gen KRAS mutado, lo que quizás ayude a evitar la multiplicación de células cancerosas y las destruya. Es un tipo de medicamento de terapia dirigida. También se llama Krazati.",tratamiento del cáncer de pulmón,adagrasib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/adagrasib
132,Qué es el afatinib,"Medicamento que se usa para el tratamiento de ciertos tipos de cáncer de pulmón de células no pequeñas que se diseminó a otras partes del cuerpo. Se utiliza en pacientes con un cáncer que no se ha tratado y que tiene ciertas mutaciones (cambios) en el gen EGFR, o que empeoró después de recibir quimioterapia con derivados del platino. También está en estudio para el tratamiento de otros tipos de cáncer. El dimaleato de afatinib bloquea ciertas proteínas que se originan del gen EGFR, lo que quizás ayude a evitar la multiplicación de células cancerosas. Es posible que también prevenga la formación de vasos sanguíneos nuevos que los tumores necesitan para crecer. El dimaleato de afatinib es un tipo de antiangiogénico y de inhibidor de tirosina–cinasas. También se llama Gilotrif.",tratamiento del cáncer de pulmón,afatinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/afatinib-dimaleate
133,Qué es el alectinib,"Medicamento que se usa para el tratamiento de adultos con ciertos tipos de cáncer de pulmón de células no pequeñas positivos para ALK. Se administra a pacientes cuyo cáncer se diseminó a otras partes del cuerpo. También se utiliza para evitar que el cáncer vuelva en los pacientes que se sometieron a cirugía para extirparlo. El alectinib está en estudio para el tratamiento de otros tipos de cáncer. El alectinib bloquea ciertas proteínas que se originan a partir del gen ALK, lo que quizás ayude a detener la multiplicación de células cancerosas. Es un tipo de inhibidor de tirosina–cinasas. También se llama Alecensa.",tratamiento del cáncer de pulmón,alectinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/alectinib-hydrochloride
134,Qué es el amivantamab,"Medicamento que se usa solo, o con otros medicamentos, para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó y que tiene un gen EGFR anormal. Se utiliza en pacientes que no han recibido otro tratamiento contra el cáncer o que empeoraron durante el tratamiento con un inhibidor de la tirosina–cinasa del EGFR (tipo de medicamento contra el cáncer) o quimioterapia con derivados del platino, o después de este. También está en estudio para el tratamiento de otros tipos de cáncer. El amivantamab se une a los receptores de unas proteínas llamadas EGF y MET, que se encuentran en algunos tipos de células cancerosas. Bloquear estas proteínas quizás ayude a evitar la multiplicación de células cancerosas. El amivantamab es un tipo de anticuerpo biespecífico. También se llama Rybrevant.",tratamiento del cáncer de pulmón,amivantamab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/amivantamab
135,Qué es el bevacizumab,"Medicamento que se une a una proteína llamada factor de crecimiento endotelial vascular (VEGF) para ayudar a prevenir la formación de vasos sanguíneos nuevos y se usa para el tratamiento de muchos tipos diferentes de cáncer. Alymsys, Mvasi, Avastin y Zirabev son los nombres comerciales del bevacizumab. Se usa solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer de cuello uterino, cáncer colorrectal, cáncer de pulmón de células no pequeñas, carcinoma de células renales (tipo de cáncer de riñón) y glioblastoma (tipo de cáncer de encéfalo). Las marcas comerciales de bevacizumab Alymsys y Avastin también se usan para el tratamiento ciertos tipos de cáncer epitelial de ovario, de trompas de Falopio y primario de peritoneo. La marca comercial Avastin también se usa para el tratamiento de ciertos tipos de carcinoma hepatocelular (tipo de cáncer de hígado). El bevacizumab también está en estudio para el tratamiento de otros tipos de cáncer. Es posible que impida la formación de los vasos sanguíneos nuevos que los tumores necesitan para crecer. El bevacizumab es un tipo de antiangiogénico y de anticuerpo monoclonal.",tratamiento del cáncer de pulmón,bevacizumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/bevacizumab
136,Qué es el brigatinib,Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó y es positivo para ALK. También está en estudio para el tratamiento de otros tipos de cáncer. El brigatinib bloquea ciertas proteínas que se originan del gen ALK. Bloquear estas proteínas quizás detenga la multiplicación y diseminación de células cancerosas. El brigatinib es un tipo de inhibidor de tirosina–cinasas. También se llama Alunbrig.,tratamiento del cáncer de pulmón,brigatnib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/brigatinib
137,Qué es el capmatinib,"Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó y tiene cierta mutación (cambio) en el gen MET. También está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de capmatinib bloquea una proteína que se origina del gen MET, lo que quizás ayude a impedir la multiplicación de células cancerosas y las destruya. Es un tipo de inhibidor de tirosina–cinasas. También se llama hidrocloruro de capmatinib y Tabrecta.",tratamiento del cáncer de pulmón,capmatinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/capmatinib-hydrochloride
138,Qué es el ceritinib,Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que se diseminó y es positivo para ALK. También está en estudio para el tratamiento de otros tipos de cáncer. El ceritinib bloquea ciertas proteínas que se originan del gen ALK. Bloquear estas proteínas quizás detenga la multiplicación y diseminación de células cancerosas. El ceritinib es un tipo de inhibidor de tirosina–cinasas. También se llama Zykadia.,tratamiento del cáncer de pulmón,certinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/ceritinib
139,Qué es el cetuximab,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de ciertos tipos de cáncer de cabeza y cuello y cáncer colorrectal. También está en estudio para el tratamiento de otros tipos de cáncer. El cetuximab se une a una proteína llamada EGFR, que está en la superficie de algunos tipos de células cancerosas. Es posible que esto ayude a impedir la multiplicación de células cancerosas. El cetuximab es un tipo de anticuerpo monoclonal. También se llama Erbitux.",tratamiento del cáncer de pulmón,cetuximab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/cetuximab
140,Qué es el crizotinib,"Medicamento que se usa para el tratamiento de tumores miofibroblásticos inflamatorios positivos para ALK en adultos y en niños de 1 año o más, linfoma anaplásico de células grandes sistémico positivo para ALK en adultos jóvenes y en niños de 1 año o más, y cáncer de pulmón de células no pequeñas positivo para ALK o positivo para ROS1. También está en estudio para el tratamiento de otros tipos de cáncer. El crizotinib bloquea ciertas proteínas que se originan de los genes ALK y ROS1, lo que quizás ayude a evitar la multiplicación de células cancerosas. Es un tipo de inhibidor de tirosina–cinasas. También se llama Xalkori.",tratamiento del cáncer de pulmón,crizotinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/crizotinib
141,Qué es el debrafenib,"Medicamento que se usa solo o con trametinib para el tratamiento del glioma de grado bajo (tipo de tumor de encéfalo) en niños de 1 año o más, y de ciertos tipos de cáncer de tiroides anaplásico, cáncer de pulmón de células no pequeñas, melanoma y otros tumores sólidos que tienen determinada mutación (cambio) en el gen BRAF. También está en estudio para el tratamiento de otros tipos de cáncer. El mesilato de dabrafenib bloquea ciertas proteínas que se originan del gen BRAF mutado, lo que tal vez ayude a evitar la multiplicación de células cancerosas. Es un tipo de inhibidor de cinasas. También se llama Tafinlar.",tratamiento del cáncer de pulmón,debrafenib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dabrafenib-mesylate
142,Qué es el dacomitinib,"Medicamento que se usa para el tratamiento del cáncer de pulmón de células no pequeñas que se diseminó, no se ha tratado y presenta ciertas mutaciones (cambios) en el gen EGFR. También está en estudio para el tratamiento de otros tipos de cáncer. El dacomitinib bloquea ciertas proteínas, lo que quizás ayude a evitar la multiplicación de células cancerosas y las destruya. Es un tipo de inhibidor de tirosina–cinasas. También se llama PF-00299804 y Vizimpro.",tratamiento del cáncer de pulmón,dacomitinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/dacomitinib
143,Qué es el entrectinib,"Medicamento que se usa en adultos para el tratamiento del cáncer de pulmón de células no pequeñas que se diseminó y es positivo para ROS1. También se usa en adultos y niños de 1 mes o más para el tratamiento de algunos tumores sólidos con una fusión en el gen NTRK. Además, está en estudio para el tratamiento de otros tipos de cáncer. El entrectinib bloquea ciertas proteínas que participan en la señalización y la multiplicación celular. Bloquear estas proteínas quizás ayude a evitar la multiplicación de células cancerosas y las destruya. El entrectinib es un tipo de inhibidor de tirosina–cinasas. También se llama Rozlytrek.",tratamiento del cáncer de pulmón,entrectinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/entrectinib
144,Qué es el erlotinib,"Medicamento que se usa sin otros medicamentos para el tratamiento de ciertos tipos de cáncer de pulmón de células no pequeñas, y con el clorhidrato de gemcitabina, para el tratamiento de ciertos tipos de cáncer de páncreas. Además, está en estudio para el tratamiento de otros tipos de cáncer. El clorhidrato de erlotinib bloquea una proteína llamada EGFR, lo que quizás ayude a impedir la multiplicación de células cancerosas. Es un tipo de inhibidor de tirosina–cinasas. También se llama CP-358,774, hidrocloruro de erlotinib, OSI-774 y Tarceva.",tratamiento del cáncer de pulmón,erlotinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/erlotinib-hydrochloride
145,Qué es el evorolimus,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de determinados tipos de cáncer de mama, cáncer de riñón, tumores de páncreas, tumores de pulmón y tumores neuroendocrinos gastrointestinales. Se utiliza bajo la marca comercial Afinitor para el tratamiento de estos cánceres y de un tipo de tumor benigno de riñón llamado angiomiolipoma renal. Además, se usa para el tratamiento de un tipo de tumor benigno de encéfalo llamado astrocitoma subependimario de células gigantes en pacientes que tienen esclerosis tuberosa. El everólimus también se usa bajo la marca comercial Afinitor Disperz para tratar el astrocitoma subependimario de células gigantes y ciertos tipos de convulsiones en pacientes con esclerosis tuberosa. Por otra parte, la marca comercial Zortress se usa para evitar que el cuerpo rechace un trasplante de riñón o de hígado. El everólimus también está en estudio para el tratamiento de otras afecciones y tipos de cáncer. Bloquea una proteína que participa en la división celular, lo que tal vez evite la multiplicación de células anormales, incluso las células cancerosas. Es posible que también evite la formación de los vasos sanguíneos nuevos que los tumores necesitan para crecer. El everólimus además disminuye la respuesta inmunitaria del cuerpo. Es un tipo de inhibidor de cinasas, de inhibidor de la angiogénesis y de inmunodepresor. También se llama RAD001.",tratamiento del cáncer de pulmón,evorolimus,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/everolimus
146,Qué es el gefitinib,"Medicamento que se usa para el tratamiento del cáncer de pulmón de células no pequeñas que se diseminó a otras partes del cuerpo y que tiene ciertas mutaciones (cambios) en el gen EGFR. Se utiliza en pacientes cuyo cáncer no se ha tratado con otra terapia contra el cáncer. También está en estudio para el tratamiento de otros tipos de cáncer. El gefitinib bloquea ciertas proteínas que se originan del gen EGFR, lo que quizás ayude a evitar la multiplicación de células cancerosas. Es posible que también prevenga la formación de vasos sanguíneos nuevos que los tumores necesitan para crecer. El gefitinib es un tipo de antiangiogénico y de inhibidor de tirosina–cinasas. También se llama Iressa y ZD1839.",tratamiento del cáncer de pulmón,gefitinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/gefitinib
147,Qué es el larotrectinib,"Medicamento que se usa para el tratamiento de adultos y niños con ciertos tipos de tumores sólidos que se diseminaron o que no se pueden extirpar mediante cirugía. Se utiliza en pacientes cuyos tumores presentan una fusión del gen NTRK. También está en estudio para el tratamiento de otros tipos de cáncer. El sulfato de larotrectinib bloquea la proteína TRK, lo que es posible que ayude a impedir la multiplicación de células cancerosas y las destruya. El sulfato de larotrectinib es un tipo de inhibidor de tirosina–cinasas. También se llama inhibidor de Trk LOXO-101, LOXO-101 y Vitrakvi.",tratamiento del cáncer de pulmón,larotrectinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/larotrectinib-sulfate
148,Qué es el lorlatinib,"Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas positivo para ALK que se diseminó a otras partes del cuerpo. También está en estudio para el tratamiento de otros tipos de cáncer. El lorlatinib bloquea ciertas proteínas que se originan del gen ALK, lo que quizás impida la multiplicación y diseminación de las células cancerosas. El lorlatinib es un tipo de inhibidor de tirosina–cinasas. También se llama Lorbrena.",tratamiento del cáncer de pulmón,lorlatinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/lorlatinib
149,Qué es el necitumumab,"Medicamento que se usa con la gemcitabina y el cisplatino para tratar el cáncer de pulmón de células no pequeñas y escamosas que se diseminó a otras partes del cuerpo. Se usa en pacientes cuyo cáncer no se trató con otras terapias contra el cáncer. También está en estudio para el tratamiento de otros tipos de cáncer. El necitumumab se une a una proteína llamada receptor del factor de crecimiento epidérmico (RFCE), que se encuentra en algunos tipos de células cancerosas. El bloqueo de esta proteína puede ayudar a impedir la formación de células cancerosas. El necitumumab es un tipo de anticuerpo monoclonal. También se llama Portrazza.",tratamiento del cáncer de pulmón,necitumumab,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/necitumumab
150,Qué es el osimertinib,"Medicamento que se usa solo o con otros medicamentos para el tratamiento de adultos con algunos tipos de cáncer de pulmón de células no pequeñas que tienen un gen EGFR anormal. También está en estudio para el tratamiento de otros tipos de cáncer. El mesilato de osimertinib bloquea ciertas proteínas que se originan del gen EGFR mutado, lo que quizás ayude a impedir la multiplicación de células cancerosas y las destruya. Es un tipo de inhibidor de tirosina–cinasas. También se llama Tagrisso.",tratamiento del cáncer de pulmón,osimertinib,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/osimertinib-mesylate
151,Qué es el pralsetinib,"Medicamento que se usa para el tratamiento de adultos con cáncer de pulmón de células no pequeñas que tiene un gen de fusión RET y que se diseminó a otras partes del cuerpo. También se usa para adultos y niños de 12 años o más con cáncer de tiroides que tiene un gen de fusión RET, se diseminó y necesita tratamiento con terapia sistémica. Esto incluye a pacientes cuyo cáncer de tiroides no respondió al yodo radiactivo. Además está en estudio para el tratamiento de otros tipos de cáncer. El pralsetinib bloquea ciertas proteínas que se producen a partir del gen de fusión RET y es posible que esto impida la multiplicación de células cancerosas. Es un tipo de inhibidor de tirosina–cinasas. También se llama Gavreto.",tratamiento del cáncer de pulmón,pralsetinib,https://medlineplus.gov|https://www.cancer.gov/publications/dictionaries/cancer-drug
